,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-6734-5p,25,15,15,77,23,16,44,54,22,19,36,41,27,12,1168,293
miR-6735-3p,127,47,50,368,499,45,2352,1451,114,250,2087,123,478,15,1597,2244
miR-6735-5p,46,101,143,383,81,54,232,470,69,69,295,116,196,24,277,462
miR-6736-3p,20,24,20,312,27,17,20,50,25,32,10,49,19,8,7,236
miR-6736-5p,9,5,13,126,13,5,15,43,14,8,10,28,9,5,8288,4045
miR-6737-3p,13,4,5,187,11,2,29,34,12,7,17,40,10,0,20,162
miR-6737-5p,11,4,13,122,14,6,30,63,15,10,22,38,20,3,53,260
miR-6738-3p,8,12,3,123,5,5,3,17,4,6,5,40,4,1,4,79
miR-6738-5p,137,101,155,276,265,68,383,556,88,194,432,272,263,63,423,627
miR-6739-3p,1,4,8,53,3,3,7,18,13,5,2,33,2,2,0,63
miR-6739-5p,15,13,10,48,13,8,46,36,13,9,23,29,9,5,20,77
miR-6740-3p,5,2,9,103,12,3,16,29,11,7,12,30,12,3,16,90
miR-6740-5p,22,15,12,132,15,14,28,45,18,16,35,53,24,8,551,270
miR-6741-3p,99,51,31,264,234,31,117,309,100,173,265,86,210,6,130,419
miR-6741-5p,8929,8180,1057,5185,4392,8015,862,2343,6830,11734,781,2549,5886,12379,356,1542
miR-6742-3p,12,13,3,76,27,2,79,70,19,22,43,34,14,2,45,161
miR-6742-5p,737,394,327,779,3492,378,11810,9498,555,1302,11475,798,3257,348,8273,11272
miR-6744-3p,9,3,4,99,15,11,6,25,10,9,1,35,14,3,5,77
miR-6744-5p,19,15,17,99,11,9,60,30,19,15,27,55,18,13,39,124
miR-6745,5,12,9,68,17,6,43,194,5,7,11,33,4,2,49,101
miR-6746-5p,559,382,1767,1271,493,328,2329,3336,406,402,672,707,668,301,1896,1321
miR-6747-3p,18,19,19,253,20,16,58,57,13,16,30,55,20,12,29,188
miR-6747-5p,27,33,46,217,26,27,64,126,30,23,68,77,32,26,115,346
miR-6748-3p,19,9,18,203,151,14,985,415,16,47,862,64,138,8,665,903
miR-6748-5p,9,8,13,101,8,6,22,33,11,8,18,31,15,8,74,147
miR-6750-3p,12,8,14,352,13,8,27,48,11,18,12,64,6,7,9,189
miR-6750-5p,2151,391,101,1011,25174,215,37749,41323,1729,8094,42051,626,21702,17,25475,43178
miR-6751-3p,8,14,14,190,11,5,16,60,12,13,8,36,10,2,6,153
miR-6751-5p,7,5,6,77,11,7,7,31,20,8,4,36,10,4,10,74
miR-6752-5p,15,12,2,21,3,5,8,14,16,5,4,8,6,7,4,3
miR-6753-3p,13,6,12,161,5,5,29,29,10,11,13,34,13,1,13,148
miR-675-3p,13,3,7,221,14,4,80,63,13,10,50,56,5,3,44,237
miR-6754-3p,12,10,12,265,10,8,87,51,14,14,46,39,9,4,50,237
miR-6754-5p,225,340,714,1313,210,113,1204,1343,114,266,776,839,214,87,1386,2178
miR-6755-3p,2,4,1,20,5,4,5,5,7,3,0,23,7,0,2,36
miR-6755-5p,1,7,3,32,8,8,13,13,4,3,3,30,7,2,2,57
miR-675-5p,23,17,21,386,46,16,217,266,21,18,248,95,49,1,216,555
miR-6756-5p,4324,1356,742,1687,3114,1900,516,1507,4038,4768,598,2831,2179,2483,2366,2252
miR-6757-3p,2,6,11,148,6,7,13,19,17,1,2,35,5,3,7,104
miR-6757-5p,36,49,76,311,53,46,145,223,38,33,224,86,69,40,358,464
miR-6758-3p,8,7,3,136,9,2,13,15,9,5,2,39,5,2,2,105
miR-6758-5p,15,6,16,53,9,12,18,21,5,8,21,28,10,3,50,101
miR-6759-3p,6,9,13,264,10,7,12,36,8,7,5,23,4,1,3,212
miR-6759-5p,11,6,4,109,6,5,23,30,12,2,14,25,12,7,9,139
miR-6760-3p,28,13,13,396,42,19,26,66,26,23,33,65,29,11,44,290
