,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-6868-5p,7,5,8,58,10,6,40,40,9,4,27,37,4,0,24,112
miR-6869-5p,67,55,78,315,79,23,604,1051,34,69,360,170,64,31,360,906
miR-6870-3p,272,132,67,210,252,87,65,304,233,285,190,159,237,41,102,319
miR-6870-5p,60,92,92,123,50,136,82,108,72,74,126,88,87,119,486,244
miR-6871-5p,8,10,13,73,9,7,17,26,14,8,4,50,10,5,214,155
miR-6872-3p,59,21,35,630,78,39,322,380,45,66,230,100,77,24,222,964
miR-6872-5p,15,4,17,300,20,10,59,154,21,13,48,42,33,3,121,473
miR-6873-3p,35,30,27,89,26,14,8,15,18,24,6,47,25,5,5,76
miR-6873-5p,18,11,58,158,15,17,69,88,24,17,51,60,19,15,132,147
miR-6874-3p,33,11,7,40,26,18,10,16,29,11,4,50,19,8,2,63
miR-6874-5p,3,9,12,63,9,3,26,41,7,6,18,31,16,3,33,132
miR-6875-5p,220,192,325,472,151,156,339,546,147,187,370,356,226,101,652,565
miR-6876-3p,1,3,4,42,4,3,12,10,7,3,1,48,5,1,1,83
miR-6877-3p,214,96,118,547,1294,103,3751,2826,186,404,3778,147,1139,46,2603,3834
miR-6877-5p,708,583,411,760,1065,641,820,1107,582,772,941,666,549,142,550,538
miR-6878-3p,4,8,2,47,6,2,2,9,5,10,4,24,6,1,0,38
miR-6878-5p,14,7,16,62,10,7,562,190,10,14,280,45,25,2,402,387
miR-6880-5p,231,327,383,755,204,235,447,504,212,207,496,245,280,198,949,624
miR-6881-3p,7,3,3,106,10,4,13,23,6,5,5,38,11,1,3,79
miR-6881-5p,6,5,3,36,2,1,7,12,5,3,7,14,5,6,34,68
miR-6882-3p,25,28,33,271,30,12,28,72,25,23,28,63,16,5,20,274
miR-6882-5p,12,19,42,109,15,5,674,231,18,11,435,52,30,9,464,481
miR-6883-3p,4,4,6,59,12,6,3,13,3,9,4,37,1,4,0,48
miR-6883-5p,2,3,14,29,4,2,8,19,12,3,7,29,5,2,510,351
miR-6884-3p,29,18,20,278,27,21,23,34,15,17,12,77,25,12,7,167
miR-6884-5p,15,4,13,196,8,6,25,66,14,8,13,37,13,2,25,233
miR-6885-3p,14,11,10,482,27,10,32,268,14,19,17,56,17,2,17,786
miR-6885-5p,173,74,114,543,770,124,4257,3106,138,269,4255,289,836,53,3024,4394
miR-6886-3p,20,18,14,202,18,18,11,35,18,26,14,45,18,10,7,95
miR-6886-5p,9,8,22,105,13,11,152,71,13,15,85,46,21,3,108,165
miR-6887-3p,16,10,13,204,14,16,16,22,21,16,14,69,19,19,12,133
miR-6887-5p,99,81,58,239,96,46,116,185,62,82,221,108,64,106,21507,7562
miR-6888-3p,4,2,8,78,3,6,8,20,7,3,7,32,4,0,8,85
miR-6888-5p,7,5,12,110,7,1,153,44,21,7,72,41,12,3,150,205
miR-6889-3p,7,3,11,102,11,8,33,37,6,5,29,33,12,2,31,126
miR-6889-5p,53,15,37,171,27,12,55,162,24,18,67,72,31,3,114,271
miR-6890-3p,25,16,26,153,21,11,47,47,15,14,39,49,19,13,34,113
miR-6890-5p,22,21,34,210,13,26,42,63,20,21,33,62,25,7,104,172
miR-6891-3p,21,10,2,91,17,11,14,25,16,22,19,48,15,8,27,57
miR-6892-3p,167,134,170,560,146,101,204,593,124,188,273,220,215,61,433,555
miR-6892-5p,13,12,23,73,12,9,31,49,30,13,21,44,22,6,56,134
miR-6893-3p,116,44,51,395,1374,31,4076,3073,95,275,4419,91,1267,14,2718,4131
miR-6893-5p,27,13,42,142,17,14,34,58,23,25,24,65,19,19,44,162
miR-6894-5p,206,268,317,759,151,232,267,518,161,164,318,325,218,218,725,612
miR-6895-3p,20,3,13,125,80,8,859,381,21,24,675,53,88,10,588,750
miR-6895-5p,54,64,135,413,43,50,227,273,44,53,225,87,78,31,78,563
miR-708-5p,337,252,201,227,129,154,146,220,228,279,303,112,261,197,115,174
miR-7106-3p,27,12,14,294,21,18,52,47,21,18,33,61,24,6,33,226
miR-7106-5p,34,20,12,101,37,35,33,198,22,22,46,56,26,31,847,274
miR-7107-3p,1,2,2,23,1,0,0,4,5,1,1,14,3,1,0,27
miR-7107-5p,377,356,550,1041,331,311,437,977,226,304,776,853,333,208,4420,1912
miR-7108-5p,454,924,378,856,321,455,1248,1280,365,607,1165,755,518,507,1189,1793
miR-7109-3p,29,24,17,332,24,12,116,108,24,23,87,79,31,8,84,352
miR-7109-5p,75,64,106,310,87,71,287,246,45,70,356,110,120,31,1393,1515
miR-711,174,261,338,478,541,135,793,800,184,393,903,163,647,45,839,894
miR-7111-3p,36,48,47,255,32,25,26,61,35,69,24,67,36,21,10,152
miR-7111-5p,229,268,382,595,211,244,427,498,184,222,523,404,259,206,2195,914
miR-7112-3p,3,2,1,44,25,3,322,144,7,4,197,16,25,3,206,299
miR-7113-5p,7,6,12,202,11,13,40,37,21,8,24,38,11,3,27,169
miR-7114-3p,233,180,155,431,327,145,303,352,269,418,925,151,588,97,976,632
miR-7114-5p,11,11,10,116,15,11,25,42,16,11,11,36,22,6,144,179
miR-7-1-3p,30,21,18,79,27,20,27,29,41,24,17,31,28,23,9,75
miR-7150,8732,17880,3618,9554,10912,5310,26801,26048,4126,20013,38039,2294,13637,1865,19368,16056
miR-7151-3p,6,11,12,169,15,4,15,43,11,5,13,42,14,7,14,207
miR-7151-5p,0,2,3,116,4,2,10,11,11,2,4,36,6,1,3,102
miR-7152-3p,33,12,11,188,47,5,485,191,25,27,323,50,29,5,296,457
miR-7152-5p,8,2,2,105,9,0,21,27,11,4,20,34,8,3,20,92
miR-7153-3p,13,6,5,52,17,4,65,38,3,14,44,27,19,3,36,100
miR-7153-5p,2,0,2,24,4,1,7,7,10,0,4,16,5,0,0,52
miR-7154-3p,17,7,29,97,11,10,51,31,17,18,24,39,20,8,31,104
miR-7154-5p,2,2,2,23,0,5,2,6,5,2,2,37,2,0,2,66
miR-7155-5p,6,9,8,62,7,3,13,23,12,13,12,28,11,7,13,67
miR-7156-3p,16,20,18,137,27,9,32,74,23,18,16,50,33,5,16,133
miR-7156-5p,4,2,7,40,4,1,9,17,14,5,7,27,3,1,0,65
miR-7157-3p,7,2,3,35,5,3,15,7,8,6,4,18,6,0,3,61
miR-7157-5p,2,9,6,24,4,8,4,11,12,7,2,26,6,3,2,49
miR-7158-3p,1,1,2,48,1,1,12,7,3,1,1,26,1,0,9,58
miR-7159-3p,5,4,0,15,4,2,9,5,6,1,4,20,1,0,8,36
miR-7159-5p,4,2,4,33,1,2,15,9,7,1,2,24,5,0,5,66
miR-7160-3p,12,9,10,124,18,4,65,51,9,21,43,36,17,6,57,175
miR-7160-5p,11,10,12,322,30,12,792,476,21,12,543,61,35,19,602,1013
miR-7161-3p,2,1,4,88,2,0,27,8,2,2,10,32,3,1,11,148
miR-7161-5p,3,1,4,31,1,2,5,4,10,2,3,26,4,2,1,53
miR-7162-3p,10,9,13,124,27,17,227,108,14,29,125,41,47,0,152,208
miR-7162-5p,13,11,4,41,13,9,25,22,13,7,14,25,9,3,19,69
miR-7-2-3p,8,0,12,176,6,4,6,23,8,4,4,26,9,3,2,102
miR-744-3p,10,10,11,44,8,7,11,17,16,9,7,27,8,6,4,67
miR-744-5p,62,111,116,91,42,52,64,103,56,61,65,51,49,52,70,135
miR-7515,7,18,7,47,11,13,192,43,12,11,72,26,13,6,140,111
miR-758-3p,95,135,53,79,43,89,40,35,86,150,54,29,75,64,20,120
miR-758-5p,6,7,9,102,9,3,82,74,6,5,84,68,5,14,2517,1606
miR-759,3,4,3,39,1,2,14,14,8,3,4,20,5,0,9,61
miR-7-5p,43,44,57,45,19,25,23,18,59,79,45,30,29,41,4,53
miR-760,14,22,24,120,10,10,15,36,15,14,18,49,22,17,16,109
miR-761,12,8,6,69,9,10,31,39,13,12,24,44,12,5,58,202
miR-764,29,17,12,144,41,18,38,53,22,31,37,34,40,8,21,162
miR-765,93,73,68,345,84,86,118,173,56,59,173,110,101,56,2616,805
miR-766-3p,116,123,144,838,124,76,166,528,110,131,211,105,162,58,99,1183
miR-766-5p,1,6,12,30,4,4,12,21,14,2,2,24,5,0,8,64
miR-767-3p,12,4,3,90,14,4,6,12,10,8,4,28,3,2,2,67
miR-767-5p,4,2,4,102,6,3,14,19,9,3,7,32,7,0,7,107
miR-769-3p,14,19,22,59,10,11,13,37,16,8,21,30,11,7,26,87
miR-769-5p,36,51,30,50,21,27,30,37,26,36,31,23,31,26,22,72
miR-7702,3,1,4,100,7,1,13,14,5,1,6,23,9,2,1,91
miR-7703,84,30,26,394,1291,25,4620,2904,57,241,4569,90,1040,20,2937,4596
miR-7705,18,13,165,263,22,9,578,165,7,14,427,46,20,9,354,524
miR-770-5p,22,21,20,208,17,9,119,98,13,19,84,61,24,17,89,225
miR-7706,12,12,41,148,32,9,269,185,14,17,251,102,38,3,247,489
miR-7843-3p,5,3,0,60,7,2,14,18,10,7,7,26,10,1,4,82
miR-7843-5p,14,21,34,178,41,16,432,210,22,23,315,55,40,6,281,459
miR-7844-5p,3,4,4,25,2,1,9,8,5,0,0,17,0,1,1,56
miR-7845-5p,101,84,297,647,130,78,259,487,69,86,380,452,124,57,1967,1133
miR-7846-3p,96,68,134,322,324,46,3207,1521,116,179,2622,150,348,26,2351,2122
miR-7848-3p,8,5,4,80,4,5,16,19,7,8,19,44,4,1,6,102
miR-7850-5p,3,4,3,58,5,1,5,12,13,3,2,32,11,2,1,41
miR-7851-3p,249,352,773,989,315,146,1539,1995,130,388,1037,722,376,43,384,3166
miR-7852-3p,3,0,0,15,3,1,6,7,6,2,0,16,0,0,2,33
miR-7853-5p,14,3,5,168,6,6,21,14,15,4,11,30,2,5,2,70
miR-7854-3p,33,9,9,40,31,9,34,42,12,38,47,36,27,5,23,101
miR-7856-5p,1,2,2,30,1,1,26,11,6,0,4,23,3,1,8,42
miR-7973,1,0,0,12,0,0,4,7,8,0,0,5,1,0,1,22
miR-7974,3,4,15,138,24,7,831,302,18,8,555,94,37,0,554,700
miR-7976,6,9,3,71,3,9,14,15,11,8,3,32,3,4,2,50
miR-7978,7,3,8,73,12,8,181,63,12,11,106,42,9,8,142,207
miR-802,0,1,2,71,1,3,11,20,11,5,7,32,5,0,5,76
miR-8052,7,9,20,92,5,7,13,40,10,5,6,28,5,4,46,115
miR-8053,1,1,4,10,4,8,4,4,2,0,1,14,2,0,2,36
miR-8054,13,5,9,33,14,12,9,19,12,6,9,23,17,1,6,77
miR-8055,7,3,2,55,3,6,9,21,6,4,6,21,11,1,4,76
miR-8056,2,1,3,40,3,2,8,21,8,4,3,32,6,2,4,61
miR-8057,7,4,3,13,2,1,4,4,8,7,5,23,2,3,1,57
miR-8058,3,2,3,20,5,2,8,7,5,2,1,18,5,0,2,39
miR-8059,1,3,5,23,0,0,9,15,5,3,1,11,1,3,97,52
miR-8060,5,12,10,74,8,15,10,33,11,12,10,55,9,2,22,136
miR-8061,6,1,4,18,3,0,4,3,4,1,0,14,1,0,2,42
miR-8062,2,3,2,7,1,4,5,3,6,1,1,20,8,0,1,24
miR-8063,5,7,11,88,14,9,24,39,13,6,11,36,14,5,6,110
miR-8065,4,4,2,26,6,7,4,5,11,4,3,53,4,2,0,65
miR-8067,5,1,2,22,3,1,10,13,3,1,6,19,6,1,2,51
miR-8068,3,2,0,9,0,0,6,5,8,2,2,17,4,0,2,54
miR-8069,124,76,132,498,106,68,380,909,64,96,699,371,103,51,29613,40343
miR-8070,1,3,5,52,4,0,10,18,5,1,3,20,2,0,6,63
miR-8071,61,69,47,162,66,62,54,100,72,54,70,61,72,32,171,212
miR-8074,6,1,6,59,5,2,58,47,3,5,38,50,8,4,25,125
miR-8076,1,3,1,14,3,2,1,4,4,0,0,33,4,0,0,35
miR-8077,4,0,1,30,2,3,12,23,8,4,4,26,4,2,5,68
miR-8078,3453,7539,2278,7617,3881,3341,4959,5141,3066,8211,3009,1270,10022,1333,268,2337
miR-8079,15,4,3,73,15,6,27,26,10,15,22,33,12,2,17,92
miR-8080,17,7,8,92,18,2,189,88,14,11,104,42,7,0,116,310
miR-8081,7,9,7,41,4,4,7,11,8,4,4,28,6,3,1,60
miR-8082,4,8,6,33,2,7,1,9,13,2,0,21,5,1,2,64
miR-8083,1,3,6,76,5,2,12,19,4,1,7,12,7,0,10,88
miR-8084,1,1,2,14,2,1,7,6,3,1,2,21,3,0,2,36
miR-8085,42,23,65,147,17,32,66,83,24,23,71,61,35,29,1154,484
miR-8086,4,5,7,24,5,2,13,8,12,3,1,11,3,1,1,55
miR-8087,3,2,2,11,1,0,7,6,7,3,1,26,3,2,0,48
miR-8088,3,2,4,29,3,2,15,13,4,3,3,27,2,3,13,92
miR-8089,200,92,149,629,149,112,342,379,156,179,272,221,153,137,714,788
miR-873-3p,10,8,24,78,12,6,22,30,11,12,20,31,9,7,8,101
miR-873-5p,193,54,28,145,839,44,1097,1350,156,428,1216,102,743,11,682,1314
miR-874-3p,2877,774,283,1179,15295,515,16700,22768,2345,6671,20144,787,12779,77,12334,22081
miR-874-5p,15,10,23,223,14,5,47,93,9,16,54,38,23,3,22,219
miR-875-3p,8,6,2,63,4,3,93,19,6,3,38,34,8,2,64,119
miR-875-5p,1,0,3,30,7,2,5,10,5,7,0,31,2,1,2,43
miR-876-3p,18,9,4,73,16,10,28,21,20,5,16,19,8,3,10,73
miR-876-5p,6,2,3,34,5,2,9,9,9,2,5,21,3,1,3,54
miR-877-3p,61,51,65,335,51,38,30,87,39,52,41,66,60,20,19,175
miR-877-5p,35,45,68,279,31,23,96,104,47,30,88,81,48,28,177,239
miR-885-3p,31,9,6,117,20,7,20,44,21,15,21,72,16,4,102,202
miR-885-5p,14,5,4,58,11,6,4,8,10,4,1,26,9,3,2,36
miR-887-3p,22,9,26,121,32,9,196,131,29,28,125,32,32,13,156,253
miR-887-5p,9,7,9,123,23,7,474,117,10,9,319,41,23,3,253,338
miR-888-3p,3,6,0,65,6,3,69,34,8,5,28,29,10,1,35,151
miR-888-5p,4,5,4,84,6,2,17,6,9,6,13,30,7,2,18,70
miR-889-3p,17,5,12,44,10,6,12,19,17,19,16,41,14,6,2,46
miR-889-5p,2,2,3,35,4,7,10,12,9,1,1,26,2,3,1,69
miR-890,3,4,4,57,6,1,12,6,16,7,2,26,7,1,1,60
miR-891a-3p,20,10,9,110,15,7,12,31,12,12,5,42,11,5,3,88
miR-891a-5p,11,4,3,124,11,5,14,12,13,10,11,30,8,2,1,80
miR-891b,4,9,0,15,3,5,6,5,10,4,1,16,5,1,0,46
miR-892a,9,5,4,67,7,7,9,18,9,10,5,30,5,5,5,61
miR-892b,3,5,6,62,2,0,9,13,9,7,7,29,8,4,3,62
miR-892c-3p,0,4,1,35,3,2,6,10,5,0,1,31,5,3,2,64
miR-892c-5p,4,3,1,74,5,4,22,19,5,4,12,27,4,1,13,88
miR-920,25,30,45,202,36,22,73,117,15,23,240,67,45,14,2397,490
miR-921,12,11,14,94,22,9,58,37,15,9,44,39,25,2,16,126
miR-922,12,7,8,87,8,3,362,116,15,9,230,47,16,1,282,338
miR-924,8,3,5,24,4,6,10,5,13,8,2,38,8,5,0,40
miR-92a-1-5p,5,3,7,49,3,3,6,5,10,4,0,25,8,0,3,65
miR-92a-2-5p,2,2,2,17,2,2,5,8,3,3,1,10,5,3,0,55
miR-92a-3p,840,723,1503,1020,418,400,773,809,916,788,1250,334,853,471,68,276
miR-92b-3p,217,164,285,429,181,107,308,261,376,376,426,102,259,114,127,331
miR-92b-5p,120,80,116,338,279,90,798,501,104,136,525,152,280,41,286,671
miR-933,51,27,36,277,1056,15,5701,3962,50,233,5278,83,1128,12,3966,5128
miR-93-3p,47,43,74,132,54,27,111,72,49,65,88,65,58,22,44,169
miR-934,1,0,1,55,2,0,17,13,4,4,14,17,3,0,5,76
miR-935,233,87,62,345,1817,78,5173,4604,232,614,5100,218,1708,34,3825,5832
miR-93-5p,339,503,394,250,225,210,101,95,419,304,430,82,354,280,153,96
miR-936,1,3,15,73,9,8,28,31,15,5,9,33,6,2,23,123
miR-937-3p,29,15,26,190,57,12,33,94,38,33,57,72,42,7,21,183
miR-937-5p,46,51,63,274,52,45,50,122,42,53,54,82,60,28,141,412
miR-938,1,4,3,23,11,1,32,22,10,3,22,16,7,0,20,71
miR-939-5p,39,25,34,291,589,21,2884,2523,40,165,2843,152,557,13,2369,3240
miR-9-3p,4,1,3,74,4,6,9,16,14,2,8,26,9,0,10,67
miR-941,32,20,38,229,44,17,667,293,31,38,509,56,64,9,504,731
miR-942-3p,3,1,9,72,4,6,18,31,6,6,6,35,8,1,9,100
miR-943,5,7,9,124,14,4,245,113,15,15,195,48,25,1,181,293
miR-944,0,1,2,23,2,3,5,10,12,1,2,25,7,0,2,69
miR-95-3p,5,2,5,17,8,5,6,7,7,4,1,23,3,2,1,43
miR-95-5p,8,4,3,53,6,8,5,6,12,5,0,28,6,2,1,37
miR-9-5p,4,4,1,66,4,1,7,14,7,7,1,21,4,0,1,61
miR-96-3p,4,4,0,68,0,3,22,19,9,2,3,29,6,0,10,95
miR-96-5p,4,1,3,58,6,3,9,8,8,5,1,21,10,3,2,67
miR-98-3p,12,2,1,21,1,1,3,0,6,4,2,12,1,1,1,14
miR-99a-5p,1505,767,893,696,661,440,415,824,1720,997,451,442,919,727,250,339
miR-99b-3p,29,44,60,157,18,22,33,81,51,44,24,48,33,29,15,148
miR-99b-5p,550,331,457,577,255,234,437,765,831,625,458,447,452,486,358,532
